name,comics,description
3-D Man,12,
A-Bomb (HAS),0,"Rick Jones has been Hulk's best bud since day one, but now he's more than a friend...he's a teammate! Transformed by a Gamma energy explosion, A-Bomb's thick, armored skin is just as strong and powerful as it is blue. And when he curls into action, he uses it like a giant bowling ball of destruction! "
A.I.M.,47,AIM is a terrorist organization bent on destroying the world.
Aaron Stack,0,
Abomination (Emil Blonsky),47,"Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk."
Abomination (Ultimate),3,
Absorbing Man,65,
Abyss,8,
Abyss (Age of Apocalypse),3,
Adam Destine,0,
Adam Warlock,129,Adam Warlock is an artificially created human who was born in a cocoon at a scientific complex called The Beehive.
Aegis (Trey Rollins),0,
Agent Brand,12,
Agent X (Nijo),18,"Originally a partner of the mind-altering assassin Black Swan, Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family, which included Nijo's brother."
Agent Zero,24,
Agents of Atlas,32,
Aginar,0,
Air-Walker (Gabriel Lan),4,
Ajak,0,
Ajaxis,0,
Akemi,0,
Alain,0,
Albert Cleary,0,
Albion,0,
Alex Power,10,
Alex Wilder,8,"Despite being the only one of the Runaways without any superhuman abilities or tech, Alex Wilder became the de facto leader of the group due to his natural leadership skills and intellect, as well as prodigy-level logic and strategy."
Alexa Mendez,0,
Alexander Pierce,1,
Alice,0,
Alicia Masters,16,
Alpha Flight,193,
Alpha Flight (Ultimate),0,
Alvin Maker,0,
Amadeus Cho,85,
Amanda Sefton,0,
Amazoness,0,
American Eagle (Jason Strongbow),5,
Amiko,11,
Amora,8,
Amphibian (Earth-712),3,
Amun,0,"Amun is a ruthless teenage assassin, employed by the Sisterhood of the Wasp to serve under the mage Vincent after Araña interrupted the ritual to initiate the Wasp's new chosen one."
Ancient One,25,
Ancient One (Ultimate),2,
Angel (Thomas Halloway),7,
Angel (Ultimate),4,
Angel (Warren Worthington III),75,
Angela (Aldrif Odinsdottir),11,
Anita Blake,46,
Anne Marie Hoag,0,
Annihilus,44,
Anole,2,
Ant-Man (Eric O'Grady),42,
Ant-Man (Scott Lang),42,
Anthem,0,
Apocalypse,94,
Apocalypse (Ultimate),0,
Aqueduct,0,
Arachne,6,
Araña,16,
Arcade,29,
Arcana,2,
Archangel,558,
Arclight,14,
Ares,55,
Argent,0,
Armadillo,0,
Armor (Hisako Ichiki),19,
Armory,2,
Arnim Zola,22,"The frail, dwarfish Arnim Zola was born in 1930s Switzerland where he became the world's leading biochemist and genetic engineer."
Arsenic,0,
Artiee,0,
Asgardian,0,
Askew-Tronics,0,
Asylum,0,
Atlas (Team),12,
Aurora,67,
Avalanche,40,
Avengers,1408,"Earth's Mightiest Heroes joined forces to take on threats that were too big for any one hero to tackle. With a roster that has included Captain America, Iron Man, Ant-Man, Hulk, Thor, Wasp and dozens more over the years, the Avengers have come to be regarded as Earth's No. 1 team."
Avengers (Ultimate),25,
Azazel (Mutant),2,"A mutant from biblical times, Azazel is the ruler of the Neyaphem and claims that the Earth and everything on it belongs to him."
Banshee,177,
Banshee (Theresa Rourke),152,"The daughter of former X-Men member Sean Cassidy, a.k.a. Banshee, and Maeve Rourke, Theresa Rourke was raised by her first cousin once removed, mutant terrorist Thomas Cassidy, a.k.a. Black Tom."
Baron Strucker,41,
Baron Zemo (Heinrich Zemo),25,
Baron Zemo (Helmut Zemo),18,
Baroness S'Bak,1,
Barracuda,4,
Bart Rozum,0,
Bastion,32,
Batroc the Leaper,26,
Battering Ram,2,
Beak,15,
Beast,769,
Beast (Earth-311),0,
Beast (Ultimate),43,
Becatron,0,
Bedlam,8,
Beef,1,
Beetle (Abner Jenkins),16,
Ben Grimm,5,
Ben Parker,12,
Ben Reilly,16,"Ben Reilly was the most genetically stable of the many clones of Spider-Man created by Professor Miles Warren, the Jackal."
Ben Urich,38,Ben Urich is a reporter for the Daily Bugle who has many ties to the city's superhero community.
Bengal,8,
Beta-Ray Bill,32,
Betty Brant,23,
Betty Ross,13,
Beyonder,5,
Bi-Beast,0,
Big Bertha,7,
Big Wheel,2,
Bill Hollister,0,
Bishop,268,
Bishop (Ultimate),0,
Black Bird,0,
Black Bolt,128,
Black Bolt (Marvel War of Heroes),0,
Black Cat,129,
Black Cat (Ultimate),5,
Black Crow,1,
Black Knight (Sir Percy of Scandia),102,
Black Panther,491,
Black Panther (Ultimate),3,
Black Queen,1,
Black Tarantula,19,
Black Tom,13,
Black Widow,425,
Black Widow (LEGO Marvel Super Heroes),0,
Black Widow (Ultimate),8,
Black Widow/Natasha Romanoff (MAA),1,"Natasha Romanoff, also known as Black Widow, is a world-renowned super spy and one of S.H.I.E.L.D.'s top agents. Her hand-to-hand combat skills, intelligence, and unpredictability make her a deadly secret weapon. True to her mysterious nature, Black Widow comes and goes as she pleases, but always appears exactly when her particular skills are needed."
Blackheart,9,
Blacklash,2,
Blackout,2,
Blade,49,
Blastaar,31,
Blazing Skull,3,
Blindfold,21,
Blink,50,
Blizzard,10,
Blob,75,
Blob (Ultimate),15,
Blockbuster,12,
Blok,6,
Bloke,3,
Blonde Phantom,16,
Bloodaxe,5,
Bloodscream,5,
Bloodstorm,11,
Bloodstrike,0,
Blue Blade,1,
Blue Marvel,24,
Blue Shield,1,
Blur,3,
"Bob, Agent of Hydra",7,"A cowardly young man, Bob was persuaded into joining the criminal organization HYDRA and has had numerous encounters with Deadpool and other Marvel heroes."
Boom Boom,53,"When Tabitha Smith's mutant nature manifested at age 13, she ran away from her abusive home and eventually hooked up with the New Mutants and, subsequently, X-Force."
Boomer,57,
Boomerang,22,
Box,4,
Bride of Nine Spiders (Immortal Weapons),10,
Bromley,0,
Brood,40,
Brother Voodoo,4,
Brotherhood of Evil Mutants,30,
Brotherhood of Mutants (Ultimate),6,
Bruce Banner,17,
Brute,6,
Bucky,44,
Bug,3,
Bulldozer,7,
Bullseye,81,
Bushwacker,11,
Butterfly,8,
Cable,353,
Cable (Deadpool),38,
Cable (Marvel: Avengers Alliance),0,
Cable (Ultimate),0,
Cable (X-Men: Battle of the Atom),0,
Calamity,0,
Caliban,70,
Callisto,33,
Callisto (Age of Apocalypse),0,
Calypso,6,
Cammi,4,
Cannonball,271,
Cap'n Oz,0,"William was born into the ClanDestine, making him a creature that is part magic.  After events surrounding the death of his brother Vincent, he moved to Australia where he started an acting career as the superhero Cap'n Oz."
Captain America,1986,"Vowing to serve his country any way he could, young Steve Rogers took the super soldier serum to become America's one-man army. Fighting for the red, white and blue for over 60 years, Captain America is the living, breathing symbol of freedom and liberty."
Captain America (House of M),3,
Captain America (LEGO Marvel Super Heroes),0,
Captain America (Marvel War of Heroes),0,
Captain America (Sam Wilson),42,"<p class=""Body"">Sam Wilson, a Harlem native, previously operated under the name Falcon, fighting alongside the Avengers. When his longtime friend Steve Rogers stepped down as Captain America, Wilson was hand-picked to fill the role. Now the former Falcon soars through the skies wearing red, white and blue.</p>"
Captain America (Ultimate),38,
Captain America/Steve Rogers (MAA),0,"During World War II, Steve Rogers enlisted in the military and was injected with a super-serum that turned him into super-soldier Captain America! He's a skilled strategist and even more skilled with his shield, but it's his courage and good heart that makes Captain America both a leader and a true hero. "
Captain Britain,132,
Captain Britain (Ultimate),0,
Captain Cross,0,
Captain Flint,1,
Captain Marvel (Carol Danvers),429,
Captain Marvel (Genis-Vell),0,
Captain Marvel (Mar-Vell),163,
Captain Marvel (Monica Rambeau),26,
Captain Marvel (Phyla-Vell),0,
Captain Midlands,0,
Captain Stacy,10,NYPD Captain George Stacy was the father of one-time Peter Parker girlfriend Gwen Stacy.
Captain Universe,20,
Cardiac,9,
Caretaker,4,
Cargill,1,
