Spider-Man (Peter Parker),4043.0
Captain America (Steven Rogers),3360.0
"Wolverine (James \""Logan\"" Howlett)",3061.0
"Iron Man (Anthony \""Tony\"" Stark)",2961.0
Thor (Thor Odinson),2258.0
Benjamin Grimm (Earth-616),2255.0
Reed Richards (Earth-616),2072.0
Hulk (Robert Bruce Banner),2017.0
Scott Summers (Earth-616),1955.0
Jonathan Storm (Earth-616),1934.0
Henry McCoy (Earth-616),1825.0
Susan Storm (Earth-616),1713.0
Namor McKenzie (Earth-616),1528.0
Ororo Munroe (Earth-616),1512.0
Clinton Barton (Earth-616),1394.0
Matthew Murdock (Earth-616),1338.0
Stephen Strange (Earth-616),1307.0
Mary Jane Watson (Earth-616),1304.0
John Jonah Jameson (Earth-616),1266.0
Robert Drake (Earth-616),1265.0
Henry Pym (Earth-616),1237.0
Charles Xavier (Earth-616),1233.0
Warren Worthington III (Earth-616),1230.0
Piotr Rasputin (Earth-616),1162.0
Wanda Maximoff (Earth-616),1161.0
Nicholas Fury (Earth-616),1137.0
Janet van Dyne (Earth-616),1120.0
Jean Grey (Earth-616),1107.0
Natalia Romanova (Earth-616),1050.0
Kurt Wagner (Earth-616),1047.0
Vision (Earth-616),1007.0
May Reilly (Earth-616),1000.0
Katherine Pryde (Earth-616),886.0
Carol Danvers (Earth-616),881.0
Jennifer Walters (Earth-616),881.0
Emma Frost (Earth-616),880.0
Frank Castle (Earth-616),878.0
Luke Cage (Earth-616),856.0
Rogue (Anna Marie) (Earth-616),850.0
Conan (Earth-616),787.0
Joseph Robertson (Earth-616),752.0
Pietro Maximoff (Earth-616),740.0
Hercules (Earth-616),725.0
Victor von Doom (Earth-616),721.0
Max Eisenhardt (Earth-616),709.0
Elizabeth Braddock (Earth-616),708.0
Norrin Radd (Earth-616),696.0
Norman Osborn (Earth-616),692.0
Eugene Thompson (Earth-616),689.0
Simon Williams (Earth-616),686.0
Samuel Guthrie (Earth-616),657.0
James Buchanan Barnes (Earth-616),641.0
Remy LeBeau (Earth-616),636.0
Daniel Rand (Earth-616),618.0
Nathan Summers (Earth-616),612.0
Elizabeth Brant (Earth-616),599.0
Richard Jones (Earth-616),590.0
Edwin Jarvis (Earth-616),567.0
Alexander Summers (Earth-616),558.0
Patricia Walker (Earth-616),550.0
Human Torch (Android) (Earth-616),548.0
Loki Laufeyson (Earth-616),532.0
Franklin Nelson (Earth-616),528.0
Brian Braddock (Earth-616),528.0
Otto Octavius (Earth-616),526.0
James Rhodes (Earth-616),525.0
Timothy Dugan (Earth-616),517.0
Crystalia Amaquelin (Earth-616),512.0
Samuel Wilson (Earth-616),512.0
Wilson Fisk (Earth-616),503.0
Odin Borson (Earth-616),502.0
Deadpool (Wade Wilson),500.0
Dane Whitman (Earth-616),478.0
Harold Osborn (Earth-616),474.0
Franklin Richards (Earth-616),473.0
Jessica Drew (Earth-616),471.0
Roberto da Costa (Earth-616),464.0
Rahne Sinclair (Earth-616),448.0
Elizabeth Ross (Earth-616),446.0
Lorna Dane (Earth-616),433.0
Blaine Colt (Earth-616),429.0
Johnathon Blaze (Earth-616),426.0
Sif (Earth-616),422.0
Red Hulk (Thaddeus Ross),415.0
Jubilation Lee (Earth-616),408.0
Volstagg (Earth-616),406.0
Balder Odinson (Earth-616),403.0
Galactus (Earth-616),390.0
Danielle Moonstar (Earth-616),388.0
Marc Spector (Earth-616),387.0
Gwendolyne Stacy (Earth-616),384.0
Medusalith Amaquelin (Earth-616),382.0
Sabretooth (Victor Creed),382.0
Illyana Rasputina (Earth-616),380.0
Johann Shmidt (Earth-616),376.0
Fandral (Earth-616),375.0
Sean Cassidy (Earth-616),374.0
Thomas Raymond (Earth-616),373.0
Uatu (Earth-616),373.0
Richard Rider (Earth-616),373.0
Hogun (Earth-616),371.0
Raven Darkholme (Earth-616),371.0
